,0,1
0,42.5,1.5166667
1,42.5666667,1.6
2,42.5333333,1.5833333
3,42.55,1.5166667
4,42.5,1.5333333
5,42.55,1.5333333
6,42.4666667,1.5
7,24.466667,54.366667
8,25.258172,55.304717
9,25.35731,55.403304
10,34.082481,70.668152
11,32.758698,61.653969
12,35.633484,69.260195
13,34.873113,71.14697
14,35.033328,71.358087
15,36.26468,68.015512
16,34.173553,69.645728
17,36.130684,68.708286
18,34.493761,69.274274
19,33.9675,68.948611
20,37.397734,69.814644
21,35.016585,69.174011
22,35.416737,65.982341
23,36.432589,64.920713
24,36.98782,66.82066
25,32.624131,65.459659
26,36.706932,71.570658
27,32.374508,62.116383
28,34.508977,68.260739
29,33.597439,69.225922
30,33.550833,68.4225
31,31.820894,64.570048
32,34.348167,62.199673
33,34.426468,70.45153
34,36.864768,70.834207
35,34.516667,69.183333
36,36.697362,67.698255
37,33.339512,69.92041
38,34.653889,61.197778
39,33.29565,61.952206
40,35.489361,66.664088
41,34.671389,70.209444
42,30.436244,61.838304
43,36.064904,69.13343
44,34.95,70.4
45,32.901111,69.152798
46,34.5875,68.953333
47,34.387949,67.023273
48,31.613323,65.710126
49,37.039988,66.788912
50,37.404464,66.074375
51,36.728955,68.857001
52,37.126035,69.83045
53,30.15,62.6
54,34.107375,64.305199
55,32.072752,64.835903
56,36.215443,65.932487
57,33.146667,68.791667
58,36.667567,65.752904
59,33.302944,62.1474
60,34.855007,69.64917
61,36.734133,69.533559
62,33.521176,64.421156
63,34.594307,61.268951
64,35.948308,66.42132
65,32.927751,66.632534
66,30.966667,61.883333
67,17.05,-61.8
68,17.1333333,-61.8
69,17.6333333,-61.8333333
70,17.05,-61.7
71,17.0333333,-61.7833333
72,17.0166667,-61.8333333
73,17.0833333,-61.7666667
74,18.2166667,-63.05
75,42.3572222,20.0730556
76,40.5988889,19.7347222
77,40.7058333,19.9522222
78,40.6275,20.99
79,41.4916667,20.2219444
80,41.6102778,20.0088889
81,41.0316667,19.9758333
82,40.5041667,20.2272222
